delivery_date,hour_ending,HHI,Pivotal
11/7/2020,11,876.7969535,0
11/7/2020,12,872.7085035,0
11/7/2020,13,902.3991412,0
11/7/2020,14,878.4240475,0
11/7/2020,15,842.0129428,0
11/7/2020,16,841.5140633,0
11/7/2020,17,845.4110221,0
11/7/2020,18,850.0898498,0
11/7/2020,19,849.7524909,0
11/7/2020,20,887.3943106,0
11/7/2020,21,923.5854517,0
11/7/2020,22,935.8530541,0
11/7/2020,23,884.8931047,0
11/7/2020,24,882.9243598,0
11/8/2020,1,884.4319402,0
11/8/2020,2,887.3010733,0
11/8/2020,3,887.4081569,0
11/8/2020,4,887.1577806,0
11/8/2020,5,887.6434499,0
11/8/2020,6,893.9467424,0
11/8/2020,7,871.6452199,0
11/8/2020,8,860.3379408,0
11/8/2020,9,857.4705886,0
11/8/2020,10,854.7184786,0
11/8/2020,11,870.2568171,0
11/8/2020,12,865.522193,0
11/8/2020,13,866.6193424,0
11/8/2020,14,844.098031,0
11/8/2020,15,842.6471019,0
11/8/2020,16,842.2054701,0
11/8/2020,17,846.7530716,0
11/8/2020,18,853.8925478,0
11/8/2020,19,850.8213391,0
11/8/2020,20,849.0986808,0
11/8/2020,21,870.6033534,0
11/8/2020,22,867.1225932,0
11/8/2020,23,867.7753893,0
11/8/2020,24,868.5194363,0
11/9/2020,1,858.6247243,0
11/9/2020,2,860.6732015,0
11/9/2020,3,859.9893123,0
11/9/2020,4,859.9893123,0
11/9/2020,5,860.6732015,0
11/9/2020,6,864.8283685,0
11/9/2020,7,850.0634332,0
11/9/2020,8,840.9554582,0
11/9/2020,9,840.5766834,0
11/9/2020,10,836.9185361,0
11/9/2020,11,835.520858,0
11/9/2020,12,833.197926,0
11/9/2020,13,835.1190453,0
11/9/2020,14,828.6058757,0
11/9/2020,15,826.6682502,0
11/9/2020,16,825.7601138,0
11/9/2020,17,831.6781596,0
11/9/2020,18,837.5926979,0
11/9/2020,19,828.1515919,0
11/9/2020,20,835.4729271,0
11/9/2020,21,837.3886692,0
11/9/2020,22,835.9399607,0
11/9/2020,23,850.9298821,0
11/9/2020,24,851.609604,0
11/10/2020,1,813.7226653,0
11/10/2020,2,815.9091304,0
11/10/2020,3,817.320861,0
11/10/2020,4,818.3288617,0
11/10/2020,5,821.4666217,0
11/10/2020,6,822.2516559,0
11/10/2020,7,906.7810792,0
11/10/2020,8,911.8827968,0
11/10/2020,9,909.8853534,0
11/10/2020,10,906.0502329,0
11/10/2020,11,892.4317675,0
11/10/2020,12,890.1415335,0
11/10/2020,13,902.3083939,0
